Time_s,Fish_X,Fish_Y,BG_X,BG_Y,Rel_X,Rel_Y
0.03333334,721.0239,544.5728,560.3582,349.0919,160.6658,195.4809
0.06666667,721.7552,552.6195,554.4516,363.8843,167.3036,188.7352
0.1,721.9905,563.7366,550.9512,378.3173,171.0393,185.4193
0.1333333,724.1326,572.2202,548.0007,392.0288,176.132,180.1914
0.1666667,725.2007,576.658,545.6359,405.9688,179.5648,170.6892
0.2,726.7015,582.2585,543.9794,420.1935,182.7221,162.065
0.2333333,729.4669,583.8805,542.9177,434.9094,186.5493,148.9711
0.2666667,730.8093,589.5205,542.5953,449.8004,188.2139,139.7201
0.3,730.2435,598.0474,542.3944,464.7367,187.8491,133.3107
0.3333333,728.4819,604.9574,542.1118,478.7951,186.3702,126.1623
0.3666667,726.4647,610.0282,541.706,491.6019,184.7587,118.4263
0.4,723.9244,613.3101,540.181,503.2324,183.7434,110.0777
0.4333333,718.5541,617.9885,539.1589,513.8121,179.3951,104.1765
0.4666667,713.3242,620.6165,538.0089,523.2314,175.3152,97.38513
0.5,709.3929,607.272,536.0594,530.8072,173.3335,76.46484
0.5333334,704.0055,608.8972,533.631,537.4758,170.3745,71.42133
0.5666667,700.5368,601.3931,530.6779,543.3373,169.8589,58.05573
0.6,698.4584,601.719,527.9557,548.7591,170.5027,52.9599
0.6333333,698.4497,601.5699,525.1666,553.66,173.2831,47.90991
0.6666667,699.5265,599.5978,522.9263,558.2288,176.6002,41.36896
0.7,701.4189,597.2641,522.2188,563.0616,179.2002,34.20251
0.7333333,703.1704,594.3996,522.2537,567.8981,180.9167,26.50153
0.7666667,704.9073,590.6204,523.5762,572.4969,181.3311,18.12347
0.8,706.3204,587.1548,525.9753,577.101,180.3451,10.05389
0.8333333,707.1865,583.2368,529.7316,581.7034,177.4548,1.533386
0.8666667,708.6311,579.9633,534.4764,586.6027,174.1547,-6.639343
0.9,710.1159,577.6432,539.5819,591.7338,170.534,-14.09058
0.9333333,712.1091,575.533,545.0728,596.7406,167.0363,-21.20758
0.9666666,713.3817,573.7158,549.9966,601.9185,163.385,-28.2027
1,714.2521,572.9495,553.9581,607.0917,160.294,-34.14221
1.033333,714.8783,572.3848,557.4932,611.9757,157.3851,-39.59088
1.066667,716.408,572.5448,561.3365,617.7544,155.0715,-45.20959
1.1,720.2628,574.1171,566.3729,624.3382,153.89,-50.22107
1.133333,724.1855,575.3135,571.1702,631.4973,153.0153,-56.18372
1.166667,727.8766,576.202,575.5163,638.2798,152.3604,-62.07782
1.2,731.6916,576.4368,580.4465,644.8036,151.2451,-68.36682
1.233333,736.0014,576.9653,585.6065,652.2659,150.3949,-75.3006
1.266667,739.7159,577.2404,590.3936,659.7314,149.3223,-82.49103
1.3,744.1567,577.4123,596.364,666.9251,147.7928,-89.51282
1.333333,747.3394,577.9216,602.3418,674.4497,144.9976,-96.52808
1.366667,750.5798,578.6143,607.8045,682.7893,142.7753,-104.175
1.4,752.7276,579.9286,613.0176,691.3647,139.71,-111.4362
1.433333,753.8966,581.35,617.8323,699.699,136.0643,-118.349
1.466667,754.4647,582.8382,622.322,707.7936,132.1427,-124.9554
1.5,754.1154,584.936,626.5781,715.5516,127.5373,-130.6157
1.533333,754.7843,587.474,630.2035,723.6802,124.5808,-136.2062
1.566667,756.2867,590.1614,633.887,731.4207,122.3997,-141.2592
1.6,756.7937,591.7751,637.9571,739.8397,118.8366,-148.0646
1.633333,758.692,595.582,642.2373,748.6898,116.4547,-153.1078
1.666667,761.8448,601.4224,646.4653,758.325,115.3795,-156.9026
1.7,764.3387,609.0323,650.8673,768.0671,113.4714,-159.0348
1.733333,766.0779,613.9474,655.1552,778.1765,110.9228,-164.2291
1.766667,767.3501,616.0817,660.7579,788.3241,106.5922,-172.2424
