Time_s,Fish_X,Fish_Y,BG_X,BG_Y,Rel_X,Rel_Y
1.8,769.469,620.9928,667.428,799.2424,102.041,-178.2496
1.833333,771.6415,623.0657,674.0844,808.9186,97.55719,-185.8529
1.866667,774.199,626.0182,680.8864,817.5686,93.31262,-191.5504
1.9,777.793,628.6307,688.513,826.0613,89.28003,-197.4306
1.933333,779.8445,631.0667,695.362,833.4678,84.48248,-202.4011
1.966667,781.0588,633.7931,701.8036,840.8139,79.25519,-207.0208
2,781.1916,635.7148,708.4782,847.9582,72.71338,-212.2433
2.033333,781.9959,641.2776,714.4698,854.4673,67.52606,-213.1897
2.066667,781.5685,643.0086,720.3007,861.7114,61.26776,-218.7028
2.1,779.9728,645.3654,725.7083,869.1664,54.26453,-223.801
2.133333,778.5741,649.0193,731.2927,876.7421,47.28137,-227.7228
2.166667,778.6947,650.3552,737.3751,884.6996,41.31964,-234.3444
2.2,775.6738,652.3353,743.5787,892.166,32.09509,-239.8307
2.233333,774.7161,652.7291,750.8557,899.6698,23.86041,-246.9407
2.266667,775.0654,654.5479,758.8439,905.6838,16.2215,-251.1359
2.3,775.0234,654.8038,767.4174,910.641,7.606018,-255.8372
2.333333,772.7026,654.7759,774.8004,914.8801,-2.097717,-260.1042
2.366667,769.3548,655.9146,780.0654,919.7424,-10.71057,-263.8278
2.4,766.7719,656.219,784.2162,924.5774,-17.44434,-268.3584
2.433333,759.9704,656.7965,786.7099,930.1061,-26.7395,-273.3096
2.466667,752.8412,661.2412,787.3693,936.664,-34.52808,-275.4228
2.5,746.1631,666.642,786.9542,944.2324,-40.79102,-277.5904
2.533333,739.9315,673.0032,785.6326,952.6162,-45.70105,-279.613
2.566667,731.6753,680.6891,782.1606,962.9517,-50.48535,-282.2625
2.6,721.67,687.9418,777.6138,973.3061,-55.94373,-285.3643
2.633333,710.3491,696.2028,771.9984,984.1996,-61.64935,-287.9968
2.666667,696.137,704.8669,764.9523,995.2981,-68.81525,-290.4312
2.7,681.0008,713.6866,756.5334,1005.686,-75.53265,-291.9989
2.733333,666.6651,721.8333,748.0031,1015.281,-81.33801,-293.4473
2.766667,652.3947,730.9604,741.8589,1024.228,-89.46417,-293.2678
2.8,640.9183,737.012,737.5244,1032.171,-96.60614,-295.1593
2.833333,632.9662,742.0027,735.0106,1039.943,-102.0444,-297.9399
2.866667,629.3745,749.3431,734.5527,1047.308,-105.1782,-297.9654
2.9,628.7992,754.7709,735.7437,1054.712,-106.9445,-299.9407
2.933333,631.4538,758.4404,738.4941,1062.555,-107.0403,-304.1146
2.966667,636.6376,760.7665,744.0858,1070.871,-107.4482,-310.1047
3,642.2784,764.457,750.7385,1079.799,-108.46,-315.3422
3.033333,648.5407,769.2667,758.9325,1089.764,-110.3918,-320.4976
3.066667,652.2563,772.32,767.1947,1099.878,-114.9384,-327.5582
3.1,653.4936,774.6674,774.0912,1108.639,-120.5976,-333.9716
3.133333,649.3986,774.8967,779.6796,1117.331,-130.2811,-342.434
3.166667,643.5417,775.4896,782.4713,1124.182,-138.9296,-348.6929
3.2,637.8945,775.7016,785.5975,1131.401,-147.7031,-355.6993
3.233333,632.3986,776.8781,787.8723,1138.239,-155.4736,-361.3607
3.266667,625.9142,775.5836,789.4556,1144.135,-163.5414,-368.5518
3.3,619.9623,776.4849,790.337,1149.34,-170.3748,-372.8553
3.333333,615.6513,774.1418,788.6443,1154.376,-172.993,-380.2345
3.366667,613.4631,772.4326,788.602,1158.758,-175.1389,-386.3253
3.4,611.991,771.9064,788.806,1162.279,-176.8149,-390.3723
3.433333,610.701,772.2336,787.6117,1165.877,-176.9106,-393.6434
3.466667,610.7288,772.6022,785.501,1168.824,-174.7722,-396.2222
3.5,610.9857,774.1326,783.0636,1171.152,-172.0779,-397.0198
3.533333,610.0045,775.1934,779.7752,1173.59,-169.7708,-398.3963
3.566667,608.9412,775.78,775.8114,1176.433,-166.8702,-400.6526
3.6,606.2853,775.7164,771.7443,1179.409,-165.459,-403.6928
3.633333,602.7783,776.6915,768.9639,1183.476,-166.1855,-406.7841
3.666667,598.3245,777.3688,765.5023,1187.816,-167.1778,-410.4469
3.7,593.7981,777.7443,763.8057,1193.076,-170.0076,-415.3314
3.733333,588.635,777.0783,761.8907,1198.324,-173.2557,-421.2454
3.766667,583.3229,776.3107,755.6951,1203.275,-172.3722,-426.9647
3.8,576.9722,774.1923,753.5552,1208.034,-176.583,-433.8419
3.833333,571.5762,772.4819,752.925,1212.139,-181.3489,-439.6571
3.866667,568.3042,771.737,750.3743,1215.941,-182.0701,-444.2036
3.9,565.9662,771.1246,746.5923,1218.15,-180.6261,-447.0255
3.933333,565.0515,771.3228,747.657,1219.599,-182.6055,-448.2764
3.966667,565.0688,772.3723,748.4758,1220.566,-183.407,-448.1939
4,564.9464,773.4122,748.1722,1221.34,-183.2258,-447.9281
4.033333,565.0661,775.219,748.4103,1222.583,-183.3442,-447.3638
4.066667,564.327,778.1445,747.2642,1224.683,-182.9373,-446.5381
4.1,563.0887,781.0285,746.5719,1228.262,-183.4832,-447.2335
4.133333,562.8903,784.7434,746.3149,1232.984,-183.4247,-448.2411
4.166667,562.7823,788.6047,746.8417,1238.81,-184.0594,-450.2057
4.2,561.5787,791.8275,747.3358,1245.192,-185.7571,-453.3648
4.233333,561.2712,793.8235,748.1812,1251.635,-186.9099,-457.8112
4.266667,562.4442,795.7695,748.9167,1257.199,-186.4725,-461.4296
4.3,562.8707,797.1824,749.5422,1262.207,-186.6715,-465.0244
4.333333,563.4627,798.6002,749.6038,1266.535,-186.1411,-467.9351
4.366667,561.1355,798.6405,749.1407,1270.027,-188.0052,-471.3866
4.4,560.0082,798.9858,748.9614,1273.337,-188.9532,-474.3513
4.433333,556.7803,798.8119,748.8897,1276.764,-192.1094,-477.9523
4.466667,556.8481,798.5098,749.3175,1279.386,-192.4694,-480.876
4.5,556.0063,798.5567,750.5925,1282.198,-194.5862,-483.6411
4.533333,557.1129,800.0387,751.3354,1284.241,-194.2225,-484.2028
4.566667,557.7889,801.8637,752.4637,1287.025,-194.6748,-485.1611
4.6,558.6059,803.8228,753.7208,1289.548,-195.1149,-485.725
4.633333,559.283,805.4817,755.3246,1292.517,-196.0417,-487.0354
4.666667,559.8334,807.302,757.426,1295.684,-197.5927,-488.3821
4.7,561.2378,806.0527,759.3241,1298.647,-198.0863,-492.5945
4.733333,562.3104,808.8895,761.0694,1298.672,-198.759,-489.7825
4.766667,560.1743,809.6155,762.7243,1298.531,-202.55,-488.9158
4.8,558.0952,809.154,764.3353,1299.872,-206.2401,-490.7184
4.833333,558.0618,809.022,766.1256,1300.442,-208.0638,-491.4196
4.866667,558.3352,808.8152,764.6342,1301.106,-206.299,-492.2911
4.9,559.4951,808.3938,764.802,1303.917,-205.3069,-495.5236
4.933333,560.9608,807.9103,764.6654,1302.17,-203.7047,-494.2595
