Time_s,Fish_X,Fish_Y,BG_X,BG_Y,Rel_X,Rel_Y
2.633333,710.3491,696.2028,772.8051,984.2395,-62.45599,-288.0367
2.666667,696.137,704.8669,765.7656,995.3318,-69.62854,-290.4649
2.7,681.0008,713.6866,757.3558,1005.716,-76.35498,-292.0298
2.733333,666.6651,721.8333,748.8418,1015.309,-82.1767,-293.476
2.766667,652.3947,730.9604,742.7173,1024.25,-90.32257,-293.2896
2.8,640.9183,737.012,738.3953,1032.188,-97.47699,-295.176
2.833333,632.9662,742.0027,735.8823,1039.957,-102.9161,-297.954
2.866667,629.3745,749.3431,735.4229,1047.321,-106.0484,-297.9783
2.9,628.7992,754.7709,736.6115,1054.725,-107.8123,-299.954
2.933333,631.4538,758.4404,739.3461,1062.568,-107.8923,-304.1276
2.966667,636.6376,760.7665,744.0859,1070.871,-107.4483,-310.1047
3,642.2784,764.457,750.7385,1079.799,-108.4601,-315.3422
3.033333,648.5407,769.2667,758.9325,1089.764,-110.3918,-320.4975
3.066667,652.2563,772.32,767.1947,1099.878,-114.9384,-327.5582
3.1,653.4936,774.6674,774.0913,1108.639,-120.5977,-333.9716
3.133333,649.3986,774.8967,779.6797,1117.331,-130.2811,-342.434
3.166667,643.5417,775.4896,782.4713,1124.182,-138.9296,-348.6929
3.2,637.8945,775.7016,785.5975,1131.401,-147.7031,-355.6993
3.233333,632.3986,776.8781,787.8723,1138.239,-155.4737,-361.3607
3.266667,625.9142,775.5836,789.4557,1144.135,-163.5416,-368.5516
3.3,619.9623,776.4849,790.3371,1149.34,-170.3748,-372.8552
3.333333,615.6513,774.1418,788.6444,1154.376,-172.9931,-380.2345
3.366667,613.4631,772.4326,788.6021,1158.758,-175.1389,-386.3253
3.4,611.991,771.9064,788.806,1162.279,-176.815,-390.3723
3.433333,610.701,772.2336,787.6118,1165.877,-176.9107,-393.6434
3.466667,610.7288,772.6022,785.501,1168.824,-174.7723,-396.2222
3.5,610.9857,774.1326,783.0636,1171.152,-172.0779,-397.0197
3.533333,610.0045,775.1934,779.7753,1173.59,-169.7708,-398.3963
3.566667,608.9412,775.78,775.8114,1176.433,-166.8702,-400.6526
3.6,606.2853,775.7164,771.7443,1179.409,-165.459,-403.6927
3.633333,602.7783,776.6915,768.964,1183.476,-166.1857,-406.7841
3.666667,598.3245,777.3688,765.5023,1187.816,-167.1779,-410.4469
3.7,593.7981,777.7443,763.8057,1193.076,-170.0076,-415.3314
3.733333,588.635,777.0783,761.8907,1198.323,-173.2557,-421.2452
3.766667,583.3229,776.3107,755.6951,1203.275,-172.3722,-426.9647
3.8,576.9722,774.1923,753.5552,1208.034,-176.5831,-433.8419
3.833333,571.5762,772.4819,752.925,1212.139,-181.3489,-439.6571
3.866667,568.3042,771.737,750.3745,1215.941,-182.0703,-444.2036
3.9,565.9662,771.1246,746.5923,1218.15,-180.6262,-447.0255
3.933333,565.0515,771.3228,747.6571,1219.599,-182.6056,-448.2764
3.966667,565.0688,772.3723,748.4759,1220.566,-183.407,-448.1939
4,564.9464,773.4122,748.1722,1221.34,-183.2258,-447.9281
